lever_dropped,n_features,fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier_raw,test_brier_calibrated,test_pos_rate
mdi_mission_lender,16,F4,2009-2013,2014,2015-2016,1837962,102370,184700,231,0.9312969888444529,0.6378435885511308,0.85491949253118,0.4841679995425697,13.596750724572393,0.024438727647066116,0.023257525637745857,0.03560909583107742
mdi_mission_lender,16,F5,2009-2014,2015,2016-2017,1940332,97945,171646,91,0.9421218894774548,0.7236795893786628,0.7667095215233368,0.3158303882351655,6.34195400316018,0.04205553978681564,0.040857043117284775,0.04980017011756755
mdi_mission_lender,16,F6,2009-2015,2016,2017-2018,2038277,86755,168132,200,0.809765593540849,0.37192414324878115,0.7553098670696016,0.26904867855364595,5.573643718898669,0.04323636367917061,0.039921242743730545,0.04827159612685271
ssbci_state_policy,16,F1,2009-2010,2011,2012-2013,1198055,246325,393582,387,0.9005013165411696,0.4590102917479459,0.9431986319431539,0.5152578814762628,36.07190101515306,0.010071727447211742,0.009034719318151474,0.014284189825754226
ssbci_state_policy,16,F2,2009-2011,2012,2013-2014,1444380,249889,246063,10,0.9354104976015719,0.5829562654947225,0.8935493154769378,0.4992047469524323,26.34830923409617,0.013702978380024433,0.01145493146032095,0.018946367393716242
ssbci_state_policy,16,F3,2009-2012,2013,2014-2015,1694269,143693,200315,131,0.9355236992430486,0.4736903426281884,0.9335537915214367,0.6776034154869155,28.714645266186057,0.011549321934580803,0.011374966241419315,0.023597833412375507
ssbci_state_policy,16,F4,2009-2013,2014,2015-2016,1837962,102370,184700,228,0.9347761352084267,0.6377949886992527,0.8608116532554324,0.49168572752047573,13.807868917900542,0.024314582347869873,0.023182658478617668,0.03560909583107742
ssbci_state_policy,16,F5,2009-2014,2015,2016-2017,1940332,97945,171646,109,0.944330710258297,0.7291637493121295,0.7783356233976715,0.3258700534755353,6.543553018116722,0.04189771041274071,0.04076467081904411,0.04980017011756755
ssbci_state_policy,16,F6,2009-2015,2016,2017-2018,2038277,86755,168132,379,0.8243529864249439,0.387235720676631,0.786486350286854,0.3091554815453929,6.404500914636521,0.0412035807967186,0.038556214421987534,0.04827159612685271
microlender_ecosystem,19,F1,2009-2010,2011,2012-2013,1198055,246325,393582,203,0.8943646154946218,0.4507514005387786,0.9363411060414015,0.5047202034138245,35.33418482746707,0.0104331374168396,0.009064712561666965,0.014284189825754226
microlender_ecosystem,19,F2,2009-2011,2012,2013-2014,1444380,249889,246063,11,0.9347583327272933,0.5660686497962509,0.8924294761625592,0.5050643808463885,26.65758402921598,0.013337642885744572,0.0114592295140028,0.018946367393716242
microlender_ecosystem,19,F3,2009-2012,2013,2014-2015,1694269,143693,200315,78,0.9321739963928444,0.4632752766522993,0.9313177471193933,0.6716518272361544,28.462436169411944,0.011630015447735786,0.01141100563108921,0.023597833412375507
microlender_ecosystem,19,F4,2009-2013,2014,2015-2016,1837962,102370,184700,300,0.9367830909908559,0.6415551702890944,0.8609492396320388,0.48657854156830826,13.664445283209144,0.02437109313905239,0.023257123306393623,0.03560909583107742
microlender_ecosystem,19,F5,2009-2014,2015,2016-2017,1940332,97945,171646,31,0.9385246715087653,0.7239749947394197,0.7381827979833823,0.30937905054534753,6.212409512155677,0.0425020307302475,0.04092131182551384,0.04980017011756755
microlender_ecosystem,19,F6,2009-2015,2016,2017-2018,2038277,86755,168132,292,0.8171372467606635,0.37998610464918486,0.7665604462071043,0.27914590269063116,5.78281898856348,0.043017465621232986,0.03987431153655052,0.04827159612685271
residualized_concentration,17,F1,2009-2010,2011,2012-2013,1198055,246325,393582,41,0.8618330691661933,0.39379208440711333,0.897753774690764,0.4780756856367565,33.46886953117857,0.01082626637071371,0.00880633294582367,0.014284189825754226
residualized_concentration,17,F2,2009-2011,2012,2013-2014,1444380,249889,246063,42,0.9219259104658342,0.5284850588078501,0.8889987202742742,0.5045988763411109,26.633014437821274,0.012672215700149536,0.011525717563927174,0.018946367393716242
residualized_concentration,17,F3,2009-2012,2013,2014-2015,1694269,143693,200315,60,0.8992605557141728,0.42730897158880143,0.9064227208686497,0.6523641330717739,27.645085956478187,0.011762689799070358,0.011274334974586964,0.023597833412375507
residualized_concentration,17,F4,2009-2013,2014,2015-2016,1837962,102370,184700,116,0.9053945976330137,0.6191211038259649,0.7870166483770867,0.43902163553166085,12.328918364405924,0.02430623397231102,0.023455632850527763,0.03560909583107742
residualized_concentration,17,F5,2009-2014,2015,2016-2017,1940332,97945,171646,186,0.9212324712126563,0.7060561046904523,0.6984938871911518,0.2713612047910679,5.449001562654146,0.04230644181370735,0.04161282256245613,0.04980017011756755
residualized_concentration,17,F6,2009-2015,2016,2017-2018,2038277,86755,168132,399,0.7259537897396002,0.3088376238333181,0.6881318113568141,0.24288619921966076,5.031658753967473,0.04340163245797157,0.040717415511608124,0.04827159612685271
residualized_lender_mix,17,F1,2009-2010,2011,2012-2013,1198055,246325,393582,398,0.9091675118237779,0.4589273762788641,0.940165199836311,0.537626814606958,37.63789344479469,0.00981292687356472,0.008726803585886955,0.014284189825754226
residualized_lender_mix,17,F2,2009-2011,2012,2013-2014,1444380,249889,246063,39,0.9424580754434375,0.5624283358424508,0.8976350491443635,0.5159164465611582,27.230362202955444,0.012021206319332123,0.01131455972790718,0.018946367393716242
residualized_lender_mix,17,F3,2009-2012,2013,2014-2015,1694269,143693,200315,101,0.926766839527055,0.4536601432011368,0.92207376943973,0.6680718756374309,28.310729377683938,0.011161587201058865,0.011404759250581264,0.023597833412375507
residualized_lender_mix,17,F4,2009-2013,2014,2015-2016,1837962,102370,184700,197,0.9275626612766777,0.6311546223194429,0.8545925521936844,0.48759471872604976,13.692982294161684,0.024080529808998108,0.022963248193264008,0.03560909583107742
residualized_lender_mix,17,F5,2009-2014,2015,2016-2017,1940332,97945,171646,337,0.9471036685662355,0.7358160996294705,0.7902346200867959,0.33611786352676054,6.7493316334714955,0.04115943983197212,0.040323056280612946,0.04980017011756755
residualized_lender_mix,17,F6,2009-2015,2016,2017-2018,2038277,86755,168132,399,0.8184424567967064,0.37793093179590737,0.7630909565678474,0.2828822410362865,5.860221408318497,0.04255540668964386,0.03970406949520111,0.04827159612685271
residualized_loan_size,18,F1,2009-2010,2011,2012-2013,1198055,246325,393582,127,0.8909998309825362,0.44280126930412983,0.9345695447648719,0.5126685237488665,35.89062663004738,0.009754381142556667,0.008893781341612339,0.014284189825754226
residualized_loan_size,18,F2,2009-2011,2012,2013-2014,1444380,249889,246063,13,0.9340275180167747,0.6053373311099041,0.8930751289078305,0.5067967797903518,26.749021026502216,0.012651883997023106,0.01129402220249176,0.018946367393716242
residualized_loan_size,18,F3,2009-2012,2013,2014-2015,1694269,143693,200315,398,0.942399658196025,0.48366331255866984,0.9386006466172429,0.6788070020116731,28.765649377611233,0.011596105061471462,0.01138246525079012,0.023597833412375507
residualized_loan_size,18,F4,2009-2013,2014,2015-2016,1837962,102370,184700,195,0.9357308898890342,0.6406311531224614,0.8618687993702131,0.4917032137785088,13.808359979457286,0.02383342757821083,0.02301834523677826,0.03560909583107742
residualized_loan_size,18,F5,2009-2014,2015,2016-2017,1940332,97945,171646,339,0.9503905346058998,0.7365154452072405,0.7914774027532749,0.3355746343512888,6.738423454359069,0.04153044894337654,0.04053666815161705,0.04980017011756755
residualized_loan_size,18,F6,2009-2015,2016,2017-2018,2038277,86755,168132,304,0.8217773839389516,0.3842822417921174,0.7717571973550551,0.28658503440301125,5.936928906388257,0.042255569249391556,0.03935128450393677,0.04827159612685271
