feature,F1,F2,F3,F4,F5,F6,F7,F8,mean,folds_used,rank,family
pct_bachelor_plus,0.0,0.0,0.0,0.011977018909144578,0.009223453546632778,0.010917736326123246,0.007425810770518282,0.011105827681980256,0.006331230904299892,5,26,acs_demographics
n_originated,0.0,0.0,0.0,0.0,0.017120203129143873,0.008231629546732979,0.0072388024758564,0.016876351209618275,0.006183373295168941,4,27,hmda
unemployment_rate,0.0,0.0,0.0,0.012217360969796295,0.007098023154316096,0.0092899642207317,0.009406966737681868,0.011120684891924809,0.006141624996806346,5,28,acs_demographics
n_withdrawn,0.0,0.0,0.0,0.0,0.017044285828988606,0.00560768415451838,0.0055305214575234705,0.008864427585164654,0.004630864878274389,4,29,hmda
n_distinct_lenders,0.0,0.0,0.0,0.0,0.006862934146891096,0.007553806571907603,0.010324460748052294,0.008726917789998274,0.004183514907106159,4,30,hmda
n_denied,0.0,0.0,0.0,0.0,0.002279622896401358,0.006190918042526892,0.0024211381112233987,0.017958878903569068,0.0036063197442150895,4,31,hmda
approval_rate,0.0,0.0,0.0,0.0,0.002692726546513542,0.007308105698969458,0.0048103226320118314,0.011670358465825002,0.0033101891679149795,4,32,hmda
n_applications,0.0,0.0,0.0,0.0,0.004113042236484365,0.008140458374444543,0.005590610638682373,0.0076418910118287945,0.0031857502826800094,4,33,hmda
denial_rate,0.0,0.0,0.0,0.0,0.002852268360659807,0.00811486437055248,0.0017324703966534016,0.012779819191488174,0.003184927789919233,4,34,hmda
n_hispanic,0.0,0.0,0.0,0.0,0.006861172647653257,0.004482580148655709,0.003142213513220597,0.009388901288537465,0.0029843584497583784,4,35,hmda
n_other_race,0.0,0.0,0.0,0.0,0.0033098046942848297,0.006126263174170752,0.005003906868533855,0.00845656007158457,0.0028620668510717507,4,36,hmda
n_black,0.0,0.0,0.0,0.0,0.002982787990943594,0.005844721309229725,0.002457859222163465,0.009089382188316385,0.002546843838831646,4,37,hmda
n_purchased,0.0,0.0,0.0,0.0,0.001787703503012377,0.005223845206394962,0.002348734536630331,0.010063644771715464,0.002427991002219142,4,38,hmda
n_asian,0.0,0.0,0.0,0.0,0.0017481411292108978,0.004311966729956692,0.0007638713049918307,0.006689805486903694,0.0016892230813828893,4,39,hmda
